문제 번호,제목,맞춘사람,제출,정답률,URL
1767,N-Rook II,283,918,42.8,https://www.acmicpc.net/problem/1767
1983,숫자 박스,516,2739,27.3,https://www.acmicpc.net/problem/1983
1181,단어 정렬,71328,224098,40.8,https://www.acmicpc.net/problem/1181
1608,스타 대회,43,461,17.5,https://www.acmicpc.net/problem/1608
1607,원숭이 타워,102,400,35.2,https://www.acmicpc.net/problem/1607
1908,곱셈 전개식,96,448,31.4,https://www.acmicpc.net/problem/1908
1036,36진수,1408,7476,25.5,https://www.acmicpc.net/problem/1036
1434,책 정리,1674,2642,73.1,https://www.acmicpc.net/problem/1434
1207,종이 자르기,68,887,10.9,https://www.acmicpc.net/problem/1207
1158,요세푸스 문제,46539,131551,49.2,https://www.acmicpc.net/problem/1158
1139,울타리,161,669,43.5,https://www.acmicpc.net/problem/1139
1670,정상 회담 2,1329,4162,39.7,https://www.acmicpc.net/problem/1670
1378,증가 수열,4,159,4.7,https://www.acmicpc.net/problem/1378
1272,특별 노드,75,330,39.7,https://www.acmicpc.net/problem/1272
1765,닭싸움 팀 정하기,836,2318,47.2,https://www.acmicpc.net/problem/1765
1669,멍멍이 쓰다듬기,1402,4719,37.0,https://www.acmicpc.net/problem/1669
1662,압축,2737,10047,36.8,https://www.acmicpc.net/problem/1662
1945,직사각형,226,616,46.9,https://www.acmicpc.net/problem/1945
1873,색종이 자르기,16,367,13.9,https://www.acmicpc.net/problem/1873
1358,하키,3266,5140,70.7,https://www.acmicpc.net/problem/1358
1906,자리 바꾸기,11,54,39.3,https://www.acmicpc.net/problem/1906
1689,겹치는 선분,1212,3994,41.8,https://www.acmicpc.net/problem/1689
1980,햄버거 사랑,556,1851,40.6,https://www.acmicpc.net/problem/1980
1044,팀 선발,323,2772,17.1,https://www.acmicpc.net/problem/1044
1915,가장 큰 정사각형,11114,49250,30.2,https://www.acmicpc.net/problem/1915
1973,버스 노선,2,86,7.1,https://www.acmicpc.net/problem/1973
1676,팩토리얼 0의 개수,39397,100167,46.3,https://www.acmicpc.net/problem/1676
1166,선물,1528,8690,23.6,https://www.acmicpc.net/problem/1166
1337,올바른 배열,2303,6075,48.3,https://www.acmicpc.net/problem/1337
1673,치킨 쿠폰,3139,13613,30.3,https://www.acmicpc.net/problem/1673
1935,후위 표기식2,11819,29885,48.9,https://www.acmicpc.net/problem/1935
1273,샷,168,904,28.5,https://www.acmicpc.net/problem/1273
1848,동굴 탐험,270,2382,18.9,https://www.acmicpc.net/problem/1848
1609,차의 공격,41,203,35.0,https://www.acmicpc.net/problem/1609
1811,Adjacent Mastermind,140,378,46.2,https://www.acmicpc.net/problem/1811
1036,36진수,1408,7476,25.5,https://www.acmicpc.net/problem/1036
1171,사오정,32,140,31.1,https://www.acmicpc.net/problem/1171
1416,팬 서비스,73,218,42.2,https://www.acmicpc.net/problem/1416
1699,제곱수의 합,20530,68235,40.3,https://www.acmicpc.net/problem/1699
1559,놀라운 미로,87,731,19.5,https://www.acmicpc.net/problem/1559
1504,특정한 최단 경로,19552,103988,25.6,https://www.acmicpc.net/problem/1504
1188,음식 평론가,2821,7044,49.9,https://www.acmicpc.net/problem/1188
1805,나무수송,63,283,33.0,https://www.acmicpc.net/problem/1805
1766,문제집,13601,35206,49.6,https://www.acmicpc.net/problem/1766
1250,색칠된 공들,18,2211,2.4,https://www.acmicpc.net/problem/1250
1226,국회,285,1125,33.8,https://www.acmicpc.net/problem/1226
1088,케이크,225,1007,37.4,https://www.acmicpc.net/problem/1088
1327,소트 게임,1408,4054,46.8,https://www.acmicpc.net/problem/1327
1737,Pibonacci,378,1350,41.2,https://www.acmicpc.net/problem/1737
1570,오세준,77,493,19.2,https://www.acmicpc.net/problem/1570
1007,벡터 매칭,3873,14247,38.0,https://www.acmicpc.net/problem/1007
1437,수 분해,647,1780,44.4,https://www.acmicpc.net/problem/1437
1114,통나무 자르기,1066,6318,24.0,https://www.acmicpc.net/problem/1114
1489,대결,308,1038,40.4,https://www.acmicpc.net/problem/1489
1335,여섯 쌍 서로소,7,76,14.6,https://www.acmicpc.net/problem/1335
1724,그림판,72,280,42.6,https://www.acmicpc.net/problem/1724
1188,음식 평론가,2821,7044,49.9,https://www.acmicpc.net/problem/1188
1375,나이,108,987,19.8,https://www.acmicpc.net/problem/1375
1869,육각형,3,15,37.5,https://www.acmicpc.net/problem/1869
1438,가장 작은 직사각형,170,784,36.8,https://www.acmicpc.net/problem/1438
1512,주기문으로 바꾸기,170,673,42.3,https://www.acmicpc.net/problem/1512
1701,Cubeditor,2816,10987,34.8,https://www.acmicpc.net/problem/1701
1894,4번째 점,421,1717,32.8,https://www.acmicpc.net/problem/1894
1524,세준세비,1517,4501,45.4,https://www.acmicpc.net/problem/1524
1250,색칠된 공들,18,2211,2.4,https://www.acmicpc.net/problem/1250
1194,"달이 차오른다, 가자.",5800,20015,39.6,https://www.acmicpc.net/problem/1194
1809,Moo,5625,14357,47.9,https://www.acmicpc.net/problem/1809
1499,뒤집기 수열,34,400,16.3,https://www.acmicpc.net/problem/1499
1238,파티,20573,58937,49.4,https://www.acmicpc.net/problem/1238
1669,멍멍이 쓰다듬기,1402,4719,37.0,https://www.acmicpc.net/problem/1669
1519,부분 문자열 뽑기 게임,252,780,49.4,https://www.acmicpc.net/problem/1519
1503,세 수 고르기,509,3259,21.4,https://www.acmicpc.net/problem/1503
1236,성 지키기,7504,21097,44.3,https://www.acmicpc.net/problem/1236
1299,전쟁 - 탈출편2,16,300,15.7,https://www.acmicpc.net/problem/1299
1103,게임,4297,26107,22.0,https://www.acmicpc.net/problem/1103
1051,숫자 정사각형,10702,27095,47.2,https://www.acmicpc.net/problem/1051
1323,숫자 연결하기,504,2866,26.1,https://www.acmicpc.net/problem/1323
1488,숌트링,66,521,16.6,https://www.acmicpc.net/problem/1488
1300,K번째 수,14141,51716,38.0,https://www.acmicpc.net/problem/1300
1387,행렬 교환,8,63,40.0,https://www.acmicpc.net/problem/1387
1759,암호 만들기,29011,88037,45.0,https://www.acmicpc.net/problem/1759
1130,종이 레이싱,12,200,12.8,https://www.acmicpc.net/problem/1130
1243,팰린드롬,102,375,45.1,https://www.acmicpc.net/problem/1243
1064,평행사변형,3129,12036,33.2,https://www.acmicpc.net/problem/1064
1070,김지민의 침략,105,561,30.3,https://www.acmicpc.net/problem/1070
1156,장난감,29,300,25.4,https://www.acmicpc.net/problem/1156
1492,합,520,1745,46.6,https://www.acmicpc.net/problem/1492
1457,정확해,90,275,48.4,https://www.acmicpc.net/problem/1457
1558,그림의 개수,9,50,27.3,https://www.acmicpc.net/problem/1558
1329,증가 수열,29,457,15.8,https://www.acmicpc.net/problem/1329
1150,백업,666,4002,26.4,https://www.acmicpc.net/problem/1150
1322,X와 K,928,2719,44.3,https://www.acmicpc.net/problem/1322
1810,징검다리 달리기 2,232,1959,19.9,https://www.acmicpc.net/problem/1810
1187,숫자 놀이,259,997,42.3,https://www.acmicpc.net/problem/1187
1807,척 노리스,79,278,34.6,https://www.acmicpc.net/problem/1807
1379,강의실 2,693,2321,39.0,https://www.acmicpc.net/problem/1379
1625,조명기구,10,221,16.9,https://www.acmicpc.net/problem/1625
1749,점수따먹기,1170,4266,35.3,https://www.acmicpc.net/problem/1749
1986,체스,1064,2874,45.4,https://www.acmicpc.net/problem/1986
1574,룩 어택,492,1207,48.8,https://www.acmicpc.net/problem/1574
1216,충무공 이순신,9,164,32.1,https://www.acmicpc.net/problem/1216
1764,듣보잡,46484,136014,41.9,https://www.acmicpc.net/problem/1764
1398,동전 문제,952,4602,28.8,https://www.acmicpc.net/problem/1398
1211,보일의 법칙,40,459,44.0,https://www.acmicpc.net/problem/1211
1973,버스 노선,2,86,7.1,https://www.acmicpc.net/problem/1973
1245,농장 관리,2313,6427,45.3,https://www.acmicpc.net/problem/1245
1386,f와 g,10,403,6.5,https://www.acmicpc.net/problem/1386
1542,체스 연습,56,180,42.4,https://www.acmicpc.net/problem/1542
1504,특정한 최단 경로,19552,103988,25.6,https://www.acmicpc.net/problem/1504
1891,사분면,866,3624,32.2,https://www.acmicpc.net/problem/1891
1150,백업,666,4002,26.4,https://www.acmicpc.net/problem/1150
1784,팰린드롬 인코딩,68,319,31.1,https://www.acmicpc.net/problem/1784
1616,드럼통 메시지,127,1050,16.4,https://www.acmicpc.net/problem/1616
1743,음식물 피하기,9398,24536,48.3,https://www.acmicpc.net/problem/1743
1767,N-Rook II,283,918,42.8,https://www.acmicpc.net/problem/1767
1027,고층 건물,5460,14106,48.0,https://www.acmicpc.net/problem/1027
1011,Fly me to the Alpha Centauri,25186,102746,32.2,https://www.acmicpc.net/problem/1011
1199,오일러 회로,688,13491,13.0,https://www.acmicpc.net/problem/1199
1623,신년 파티,178,782,35.1,https://www.acmicpc.net/problem/1623
1694,Chessboard in FEN,49,167,43.0,https://www.acmicpc.net/problem/1694
1306,달려라 홍준,1486,4298,44.9,https://www.acmicpc.net/problem/1306
1693,트리 색칠하기,1043,5673,31.9,https://www.acmicpc.net/problem/1693
1163,증가하는 리스트,17,151,20.0,https://www.acmicpc.net/problem/1163
1168,요세푸스 문제 2,1898,14087,34.1,https://www.acmicpc.net/problem/1168
1139,울타리,161,669,43.5,https://www.acmicpc.net/problem/1139
1263,시간 관리,1794,4875,44.4,https://www.acmicpc.net/problem/1263
1266,일어나!,7,1631,5.0,https://www.acmicpc.net/problem/1266
1172,선인장 Automorphisms,9,54,27.3,https://www.acmicpc.net/problem/1172
1584,게임,886,2725,44.0,https://www.acmicpc.net/problem/1584
1881,공 바꾸기,63,272,32.1,https://www.acmicpc.net/problem/1881
1373,2진수 8진수,12641,38180,41.4,https://www.acmicpc.net/problem/1373
1218,로봇,30,195,38.0,https://www.acmicpc.net/problem/1218
1295,평면도,5,104,8.1,https://www.acmicpc.net/problem/1295
1123,셔플,45,239,29.0,https://www.acmicpc.net/problem/1123
1926,그림,17696,57780,43.6,https://www.acmicpc.net/problem/1926
1656,덜컹덜컹,33,300,12.6,https://www.acmicpc.net/problem/1656
1767,N-Rook II,283,918,42.8,https://www.acmicpc.net/problem/1767
1579,보물 찾기,5,50,31.2,https://www.acmicpc.net/problem/1579
1887,Cow Pizza,127,172,87.0,https://www.acmicpc.net/problem/1887
1594,전화번호 만들기,76,359,27.9,https://www.acmicpc.net/problem/1594
1112,진법 변환,553,1651,44.3,https://www.acmicpc.net/problem/1112
1858,기울기가 가장 큰 두 점,138,1320,17.1,https://www.acmicpc.net/problem/1858
1260,DFS와 BFS,77518,328120,38.6,https://www.acmicpc.net/problem/1260
1100,하얀 칸,19331,31171,72.2,https://www.acmicpc.net/problem/1100
1892,가위바위보,65,384,28.1,https://www.acmicpc.net/problem/1892
1591,수열 복원,140,1804,14.6,https://www.acmicpc.net/problem/1591
1841,군사 배치,24,143,21.6,https://www.acmicpc.net/problem/1841
1743,음식물 피하기,9398,24536,48.3,https://www.acmicpc.net/problem/1743
1524,세준세비,1517,4501,45.4,https://www.acmicpc.net/problem/1524
1829,사탕 항아리,42,293,23.3,https://www.acmicpc.net/problem/1829
1548,부분 삼각 수열,523,1490,43.5,https://www.acmicpc.net/problem/1548
1823,수확,548,1724,44.2,https://www.acmicpc.net/problem/1823
1510,이등변 삼각형,22,182,36.1,https://www.acmicpc.net/problem/1510
1397,인화철도 구구칠,5,214,5.4,https://www.acmicpc.net/problem/1397
1994,등차수열,550,3028,27.2,https://www.acmicpc.net/problem/1994
1654,랜선 자르기,43578,265779,21.9,https://www.acmicpc.net/problem/1654
1155,변형 하노이,132,498,44.1,https://www.acmicpc.net/problem/1155
1448,삼각형 만들기,3577,10263,43.7,https://www.acmicpc.net/problem/1448
1559,놀라운 미로,87,731,19.5,https://www.acmicpc.net/problem/1559
1503,세 수 고르기,509,3259,21.4,https://www.acmicpc.net/problem/1503
1890,점프,13956,55838,31.3,https://www.acmicpc.net/problem/1890
1428,다각형의 개수,8,76,17.0,https://www.acmicpc.net/problem/1428
1306,달려라 홍준,1486,4298,44.9,https://www.acmicpc.net/problem/1306
1607,원숭이 타워,102,400,35.2,https://www.acmicpc.net/problem/1607
1414,불우이웃돕기,2059,5467,47.5,https://www.acmicpc.net/problem/1414
1707,이분 그래프,19421,110760,25.3,https://www.acmicpc.net/problem/1707
1304,지역,131,404,40.1,https://www.acmicpc.net/problem/1304
1429,결혼,29,177,29.6,https://www.acmicpc.net/problem/1429
1415,사탕,561,4493,18.3,https://www.acmicpc.net/problem/1415
1184,귀농,440,1307,48.4,https://www.acmicpc.net/problem/1184
1151,그림자,44,149,40.0,https://www.acmicpc.net/problem/1151
1223,마법의 돌,3,322,15.8,https://www.acmicpc.net/problem/1223
1799,비숍,5883,33118,24.6,https://www.acmicpc.net/problem/1799
1773,폭죽쇼,3245,9575,45.9,https://www.acmicpc.net/problem/1773
1419,등차수열의 합,454,2549,24.1,https://www.acmicpc.net/problem/1419
1239,차트,633,1714,47.8,https://www.acmicpc.net/problem/1239
1665,화물열차,134,795,32.4,https://www.acmicpc.net/problem/1665
1017,소수 쌍,2706,13333,28.5,https://www.acmicpc.net/problem/1017
1044,팀 선발,323,2772,17.1,https://www.acmicpc.net/problem/1044
1100,하얀 칸,19331,31171,72.2,https://www.acmicpc.net/problem/1100
1350,진짜 공간,3676,10221,40.9,https://www.acmicpc.net/problem/1350
1683,책장 맨 윗칸,9,60,15.8,https://www.acmicpc.net/problem/1683
1339,단어 수학,14392,40312,46.4,https://www.acmicpc.net/problem/1339
1649,택시,96,512,25.8,https://www.acmicpc.net/problem/1649
1503,세 수 고르기,509,3259,21.4,https://www.acmicpc.net/problem/1503
1784,팰린드롬 인코딩,68,319,31.1,https://www.acmicpc.net/problem/1784
1095,마법의 구슬,232,1923,19.2,https://www.acmicpc.net/problem/1095
1457,정확해,90,275,48.4,https://www.acmicpc.net/problem/1457
1743,음식물 피하기,9398,24536,48.3,https://www.acmicpc.net/problem/1743
1126,같은 탑,1994,9854,28.1,https://www.acmicpc.net/problem/1126
1559,놀라운 미로,87,731,19.5,https://www.acmicpc.net/problem/1559
1236,성 지키기,7504,21097,44.3,https://www.acmicpc.net/problem/1236
1643,쿠폰,112,393,32.7,https://www.acmicpc.net/problem/1643
1188,음식 평론가,2821,7044,49.9,https://www.acmicpc.net/problem/1188
1459,걷기,2960,9360,38.9,https://www.acmicpc.net/problem/1459
1368,물대기,2183,6475,44.0,https://www.acmicpc.net/problem/1368
1617,허후민,18,69,75.0,https://www.acmicpc.net/problem/1617
1785,팀 사모예드의 신작,50,244,32.1,https://www.acmicpc.net/problem/1785
1192,장갑,29,275,37.7,https://www.acmicpc.net/problem/1192
1428,다각형의 개수,8,76,17.0,https://www.acmicpc.net/problem/1428
1409,점 칠하기,43,347,25.4,https://www.acmicpc.net/problem/1409
1317,그룹 단어,24,364,11.9,https://www.acmicpc.net/problem/1317
1887,Cow Pizza,127,172,87.0,https://www.acmicpc.net/problem/1887
1472,전화번호,2,122,33.3,https://www.acmicpc.net/problem/1472
1014,컨닝,2614,9753,47.3,https://www.acmicpc.net/problem/1014
1044,팀 선발,323,2772,17.1,https://www.acmicpc.net/problem/1044
1113,수영장 만들기,1624,5931,38.9,https://www.acmicpc.net/problem/1113
1195,킥다운,645,2537,33.6,https://www.acmicpc.net/problem/1195
1543,문서 검색,12013,32917,45.3,https://www.acmicpc.net/problem/1543
1133,반복되지 않는 단어,78,335,45.3,https://www.acmicpc.net/problem/1133
1192,장갑,29,275,37.7,https://www.acmicpc.net/problem/1192
1457,정확해,90,275,48.4,https://www.acmicpc.net/problem/1457
1223,마법의 돌,3,322,15.8,https://www.acmicpc.net/problem/1223
1417,국회의원 선거,7645,20136,45.7,https://www.acmicpc.net/problem/1417
1655,가운데를 말해요,17013,75606,30.8,https://www.acmicpc.net/problem/1655
1492,합,520,1745,46.6,https://www.acmicpc.net/problem/1492
1830,거리,48,368,16.4,https://www.acmicpc.net/problem/1830
1539,이진 검색 트리,461,2492,32.9,https://www.acmicpc.net/problem/1539
1162,도로포장,2892,20044,22.5,https://www.acmicpc.net/problem/1162
1489,대결,308,1038,40.4,https://www.acmicpc.net/problem/1489
1394,암호,536,3150,25.8,https://www.acmicpc.net/problem/1394
1234,크리스마스 트리,849,2282,48.8,https://www.acmicpc.net/problem/1234
1454,세비 게임,4,61,17.4,https://www.acmicpc.net/problem/1454
1964,"오각형, 오각형, 오각형…",5357,13234,47.5,https://www.acmicpc.net/problem/1964
1674,성준이와 초콜릿,56,392,31.3,https://www.acmicpc.net/problem/1674
1140,요금,42,1111,15.3,https://www.acmicpc.net/problem/1140
1359,복권,1018,2731,48.5,https://www.acmicpc.net/problem/1359
1072,게임,10241,55553,24.7,https://www.acmicpc.net/problem/1072
1978,소수 찾기,93536,245615,47.4,https://www.acmicpc.net/problem/1978
1331,나이트 투어,2721,9363,35.7,https://www.acmicpc.net/problem/1331
1987,알파벳,26716,142598,28.5,https://www.acmicpc.net/problem/1987
1487,물건 팔기,788,2286,44.8,https://www.acmicpc.net/problem/1487
1301,비즈 공예,419,2020,31.1,https://www.acmicpc.net/problem/1301
1611,강강술래,37,147,40.2,https://www.acmicpc.net/problem/1611
1589,레이저,2,26,11.1,https://www.acmicpc.net/problem/1589
1661,다솜이의 신발가게,63,584,21.3,https://www.acmicpc.net/problem/1661
1165,단어퍼즐,54,353,43.2,https://www.acmicpc.net/problem/1165
1096,종이 접기,88,564,28.3,https://www.acmicpc.net/problem/1096
1720,타일 코드,1534,4633,42.2,https://www.acmicpc.net/problem/1720
1832,카우보이,12,136,15.4,https://www.acmicpc.net/problem/1832
1792,공약수,248,2227,19.4,https://www.acmicpc.net/problem/1792
1773,폭죽쇼,3245,9575,45.9,https://www.acmicpc.net/problem/1773
1831,과수원,4,22,33.3,https://www.acmicpc.net/problem/1831
1583,이동호의 트럭,4,64,25.0,https://www.acmicpc.net/problem/1583
1977,완전제곱수,17140,40538,48.9,https://www.acmicpc.net/problem/1977
1437,수 분해,647,1780,44.4,https://www.acmicpc.net/problem/1437
1381,요구르트의 유통기한,39,349,16.6,https://www.acmicpc.net/problem/1381
1082,방 번호,2091,7954,33.7,https://www.acmicpc.net/problem/1082
1654,랜선 자르기,43578,265779,21.9,https://www.acmicpc.net/problem/1654
1157,단어 공부,105256,331339,40.1,https://www.acmicpc.net/problem/1157
1511,숫자 만들기,112,507,32.6,https://www.acmicpc.net/problem/1511
1647,도시 분할 계획,12764,37190,49.0,https://www.acmicpc.net/problem/1647
1796,신기한 키보드,345,1197,40.4,https://www.acmicpc.net/problem/1796
1629,곱셈,31860,152591,27.8,https://www.acmicpc.net/problem/1629
1274,커피숍1,43,1495,9.1,https://www.acmicpc.net/problem/1274
1513,경로 찾기,861,4466,30.8,https://www.acmicpc.net/problem/1513
1967,트리의 지름,17998,58902,40.7,https://www.acmicpc.net/problem/1967
1683,책장 맨 윗칸,9,60,15.8,https://www.acmicpc.net/problem/1683
1568,새,6015,8999,76.3,https://www.acmicpc.net/problem/1568
1214,쿨한 물건 구매,1236,7259,22.3,https://www.acmicpc.net/problem/1214
1076,저항,14873,36496,47.6,https://www.acmicpc.net/problem/1076
1885,비부분수열,154,461,45.2,https://www.acmicpc.net/problem/1885
1168,요세푸스 문제 2,1898,14087,34.1,https://www.acmicpc.net/problem/1168
1832,카우보이,12,136,15.4,https://www.acmicpc.net/problem/1832
1715,카드 정렬하기,22622,81601,35.3,https://www.acmicpc.net/problem/1715
1672,DNA 해독,1883,6014,42.7,https://www.acmicpc.net/problem/1672
1513,경로 찾기,861,4466,30.8,https://www.acmicpc.net/problem/1513
1179,마지막 요세푸스 문제,391,1925,34.8,https://www.acmicpc.net/problem/1179
1261,알고스팟,14243,46285,43.4,https://www.acmicpc.net/problem/1261
1779,Text Formalization,11,273,10.2,https://www.acmicpc.net/problem/1779
1156,장난감,29,300,25.4,https://www.acmicpc.net/problem/1156
1239,차트,633,1714,47.8,https://www.acmicpc.net/problem/1239
1858,기울기가 가장 큰 두 점,138,1320,17.1,https://www.acmicpc.net/problem/1858
1212,8진수 2진수,15268,52940,36.4,https://www.acmicpc.net/problem/1212
